stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT18CP41993,41993,Lévesque / Des Hêtres [41993] ,-73.60297,45.651569,0,0,1
JUIN1841993,41993,Lévesque / Des Hêtres [41993] ,-73.60297,45.651569,0,0,1
JUIN18CP41993,41993,Lévesque / Des Hêtres [41993] ,-73.60297,45.651569,0,0,1
AOUT1841994,41994,Lévesque / Des Hirondelles [41994] ,-73.59966,45.653326,0,0,0
JUIN1841994,41994,Lévesque / Des Hirondelles [41994] ,-73.59966,45.653326,0,0,0
AOUT1841995,41995,Lévesque / Des Hirondelles [41995] ,-73.60005,45.653281,0,0,1
JUIN1841995,41995,Lévesque / Des Hirondelles [41995] ,-73.60005,45.653281,0,0,1
AOUT1841996,41996,Lévesque / Des Sapins [41996] ,-73.59596,45.655669,0,0,0
JUIN1841996,41996,Lévesque / Des Sapins [41996] ,-73.59596,45.655669,0,0,0
AOUT1841997,41997,Lévesque / 86e Avenue [41997] ,-73.74499,45.532638,0,0,0
JUIN1841997,41997,Lévesque / 86e Avenue [41997] ,-73.74499,45.532638,0,0,0
AOUT1841998,41998,Lévesque / Des Sapins [41998] ,-73.59585,45.655912,0,0,1
JUIN1841998,41998,Lévesque / Des Sapins [41998] ,-73.59585,45.655912,0,0,1
AOUT1841999,41999,Lévesque / Du Cresson [41999] ,-73.59394,45.657003,0,0,0
JUIN1841999,41999,Lévesque / Du Cresson [41999] ,-73.59394,45.657003,0,0,0
AOUT1842000,42000,Lévesque / Du Cresson [42000] ,-73.59392,45.657209,0,0,1
JUIN1842000,42000,Lévesque / Du Cresson [42000] ,-73.59392,45.657209,0,0,1
AOUT1842001,42001,Lévesque / Roger [42001] ,-73.59254,45.65793,0,0,0
JUIN1842001,42001,Lévesque / Roger [42001] ,-73.59254,45.65793,0,0,0
AOUT1842002,42002,Lévesque / Roger [42002] ,-73.5927,45.658022,0,0,1
JUIN1842002,42002,Lévesque / Roger [42002] ,-73.5927,45.658022,0,0,1
AOUT1842003,42003,Lévesque / Des Noisetiers [42003] ,-73.59044,45.659383,0,0,0
JUIN1842003,42003,Lévesque / Des Noisetiers [42003] ,-73.59044,45.659383,0,0,0
AOUT1842004,42004,Lévesque / Des Noisetiers [42004] ,-73.59039,45.6596,0,0,0
JUIN1842004,42004,Lévesque / Des Noisetiers [42004] ,-73.59039,45.6596,0,0,0
AOUT1842005,42005,Lévesque / De La Rosée [42005] ,-73.58651,45.662254,0,0,0
JUIN1842005,42005,Lévesque / De La Rosée [42005] ,-73.58651,45.662254,0,0,0
AOUT1842006,42006,Lévesque / 90e Avenue [42006] ,-73.74708,45.531401,0,0,0
JUIN1842006,42006,Lévesque / 90e Avenue [42006] ,-73.74708,45.531401,0,0,0
AOUT1842007,42007,Lévesque / Angèle [42007] ,-73.58644,45.662506,0,0,0
JUIN1842007,42007,Lévesque / Angèle [42007] ,-73.58644,45.662506,0,0,0
AOUT1842008,42008,Lévesque / De L'harmonie [42008] ,-73.58474,45.663173,0,0,0
JUIN1842008,42008,Lévesque / De L'harmonie [42008] ,-73.58474,45.663173,0,0,0
AOUT1842009,42009,Lévesque / De L'harmonie [42009] ,-73.58451,45.663363,0,0,1
JUIN1842009,42009,Lévesque / De L'harmonie [42009] ,-73.58451,45.663363,0,0,1
AOUT1842010,42010,Lévesque / Léa [42010] ,-73.58199,45.663247,0,0,0
JUIN1842010,42010,Lévesque / Léa [42010] ,-73.58199,45.663247,0,0,0
AOUT1842011,42011,Lévesque / Aline [42011] ,-73.58163,45.663275,0,0,1
JUIN1842011,42011,Lévesque / Aline [42011] ,-73.58163,45.663275,0,0,1
AOUT1842013,42013,Lévesque / Stella [42013] ,-73.57475,45.664926,0,0,0
JUIN1842013,42013,Lévesque / Stella [42013] ,-73.57475,45.664926,0,0,0
AOUT1842014,42014,Lévesque / Emma [42014] ,-73.56959,45.668241,0,0,0
JUIN1842014,42014,Lévesque / Emma [42014] ,-73.56959,45.668241,0,0,0
AOUT1842015,42015,Lévesque / Emma [42015] ,-73.56957,45.66843,0,0,0
JUIN1842015,42015,Lévesque / Emma [42015] ,-73.56957,45.66843,0,0,0
AOUT1842016,42016,Lévesque / Duchesneau [42016] ,-73.56591,45.669395,0,0,0
JUIN1842016,42016,Lévesque / Duchesneau [42016] ,-73.56591,45.669395,0,0,0
AOUT1842017,42017,Lévesque / 85e Avenue [42017] ,-73.74344,45.533199,0,0,0
JUIN1842017,42017,Lévesque / 85e Avenue [42017] ,-73.74344,45.533199,0,0,0
AOUT1842018,42018,Lévesque / Duchesneau [42018] ,-73.56568,45.669584,0,0,0
JUIN1842018,42018,Lévesque / Duchesneau [42018] ,-73.56568,45.669584,0,0,0
AOUT1842019,42019,Lévesque / Face Au 8920 [42019] ,-73.56446,45.670277,0,0,0
JUIN1842019,42019,Lévesque / Face Au 8920 [42019] ,-73.56446,45.670277,0,0,0
AOUT1842020,42020,Lévesque / Face Au 8920 [42020] ,-73.56472,45.670214,0,0,0
JUIN1842020,42020,Lévesque / Face Au 8920 [42020] ,-73.56472,45.670214,0,0,0
AOUT1842021,42021,Lévesque / Face Au 9020 [42021] ,-73.56214,45.672006,0,0,0
JUIN1842021,42021,Lévesque / Face Au 9020 [42021] ,-73.56214,45.672006,0,0,0
AOUT1842022,42022,Lévesque / Face Au 9020 [42022] ,-73.56237,45.671952,0,0,0
JUIN1842022,42022,Lévesque / Face Au 9020 [42022] ,-73.56237,45.671952,0,0,0
AOUT1842023,42023,Lévesque / Fournier [42023] ,-73.56014,45.673546,0,0,0
JUIN1842023,42023,Lévesque / Fournier [42023] ,-73.56014,45.673546,0,0,0
AOUT1842024,42024,Lévesque / Fournier [42024] ,-73.56018,45.673654,0,0,0
JUIN1842024,42024,Lévesque / Fournier [42024] ,-73.56018,45.673654,0,0,0
AOUT1842025,42025,Lévesque / Viviane [42025] ,-73.55859,45.674726,0,0,0
JUIN1842025,42025,Lévesque / Viviane [42025] ,-73.55859,45.674726,0,0,0
AOUT1842026,42026,Lévesque / Viviane [42026] ,-73.55874,45.674779,0,0,0
JUIN1842026,42026,Lévesque / Viviane [42026] ,-73.55874,45.674779,0,0,0
AOUT1842027,42027,Lévesque / Face Au 9310 [42027] ,-73.55667,45.675833,0,0,0
JUIN1842027,42027,Lévesque / Face Au 9310 [42027] ,-73.55667,45.675833,0,0,0
